team_name,opponent_pace,opponent_offensive_rating,opponent_free_throw_attempt_rate,opponent_three_point_attempt_rate,opponent_true_shooting_percentage,opponent_team_rebound_percentage,opponent_assist_percentage,opponent_steal_percentage,opponent_block_percentage,opponent_effective_field_goal_percentage,opponent_turnover_percentage,opponent_offensive_rebound_percentage,opponent_free_throws_per_field_goal_attempt,pace,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,team_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage,free_throws_per_field_goal_attempt,opponent_field_goals,opponent_field_goals_attempted,opponent_field_goal_percentage,opponent_three_point_field_goals,opponent_three_point_field_goals_attempted,opponent_three_point_percentage,opponent_free_throws,opponent_free_throws_attempted,opponent_free_throw_percentage,opponent_offensive_rebounds,opponent_team_rebounds,opponent_assists,opponent_steals,opponent_blocks,opponent_turnovers,opponent_personal_fouls,games,wins,losses,win_percentage,simple_rating_system,strength_of_schedule,wins_conf,losses_conf,home_wins,home_losses,wins_visitor,losses_visitor,team_points,opponent_points,minutes_played,field_goals,field_goals_attempted,field_goal_percentage,three_point_field_goals,three_point_field_goals_attempted,three_point_percentage,free_throws,free_throws_attempted,free_throw_percentage,offensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,personal_fouls,conference,points_per_game,opponent_points_per_game,margin_of_victory,offensive_srs,defensive_srs,offensive_rating_adjusted,defensive_rating_adjusted,net_rating_adjusted,date
Abilene Christian,71.5,88.1,.426,.463,.485,40.1,51.3,11.9,9.4,.426,19.8,25.3,.315,71.5,115.3,.373,.325,.556,59.9,61.0,10.5,17.2,.520,15.4,44.4,.270,39,108,.361,14,50,.280,34,46,.739,19,59,20,17,8,32,40,2,2,0,1.000,5.84,3.84,,,2,0,0,0,165,126,80,59,126,.468,13,41,.317,34,47,.723,32,88,36,15,10,27,38,WAC,82.5,63.0,19.50,-5.77,11.61,110.91,101.57,9.34,2025-11-08
Air Force,66.6,118.7,.455,.400,.591,42.6,61.5,12.0,3.8,.527,10.7,25.8,.382,66.6,94.6,.191,.447,.614,57.4,62.5,10.5,6.1,.596,31.0,34.8,.149,26,55,.473,6,22,.273,21,25,.840,8,23,16,8,1,8,15,1,0,1,.000,0.00,16.00,,,0,0,0,1,63,79,40,24,47,.511,8,21,.381,7,9,.778,8,31,15,7,2,23,18,MWC,63.0,79.0,-16.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Akron,72.0,98.6,.213,.475,.528,46.8,58.3,6.9,23.7,.484,22.0,31.6,.197,72.0,118.1,.460,.397,.554,53.2,55.6,13.9,18.8,.492,9.4,38.5,.365,24,61,.393,11,29,.379,12,13,.923,12,36,14,5,9,19,22,1,1,0,1.000,0.00,-14.00,,,1,0,0,0,85,71,40,27,63,.429,8,25,.320,23,29,.793,15,41,15,10,6,8,13,MAC,85.0,71.0,14.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Alabama,74.0,83.8,.274,.323,.442,36.1,54.2,14.9,3.2,.427,12.5,16.7,.145,74.0,123.1,.466,.466,.642,63.9,71.0,10.8,16.7,.603,17.5,36.7,.362,24,62,.387,5,20,.250,9,17,.529,7,26,13,11,1,10,19,1,1,0,1.000,12.50,-16.50,,,1,0,0,0,91,62,40,31,58,.534,8,27,.296,21,27,.778,11,46,22,8,7,15,15,SEC,91.0,62.0,29.00,8.50,4.00,102.51,103.69,-1.18,2025-11-08
Alabama A&M,70.4,112.2,.345,.429,.571,53.6,63.0,7.8,6.7,.513,13.2,26.9,.303,70.4,93.0,.296,.348,.499,46.4,55.3,6.4,5.9,.470,16.0,21.9,.200,54,119,.454,14,51,.275,36,41,.878,18,75,34,11,5,21,33,2,1,1,.500,0.00,47.00,,,1,0,0,1,131,158,80,47,115,.409,14,40,.350,23,34,.676,16,65,26,9,4,25,34,SWAC,65.5,79.0,-13.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Alabama State,78.3,128.9,.189,.635,.626,58.3,62.9,12.8,7.1,.595,15.7,43.6,.176,78.3,81.7,.292,.354,.432,41.7,47.8,10.2,3.7,.408,18.7,28.9,.169,35,74,.473,18,47,.383,13,14,.929,17,49,22,10,3,15,17,1,0,1,.000,-4.75,32.25,,,0,0,0,1,64,101,40,23,65,.354,7,23,.304,11,19,.579,13,35,11,8,1,17,15,SWAC,64.0,101.0,-37.00,-10.00,5.25,92.00,94.46,-2.46,2025-11-08
Albany (NY),76.6,104.5,.672,.414,.523,51.1,66.7,23.5,10.8,.457,15.5,38.5,.466,76.6,69.2,.209,.448,.360,48.9,57.9,10.4,11.8,.321,23.8,38.8,.149,24,58,.414,5,24,.208,27,39,.692,15,45,16,18,4,14,16,1,0,1,.000,-6.00,21.00,,,0,0,0,1,53,80,40,19,67,.284,5,30,.167,10,14,.714,19,43,11,8,4,23,27,AEC,53.0,80.0,-27.00,-19.33,13.33,76.66,85.65,-8.99,2025-11-08
Alcorn State,73.9,124.4,.423,.341,.623,52.8,53.7,11.5,9.3,.614,13.5,33.3,.268,73.9,98.7,.358,.491,.588,47.2,50.0,10.8,7.4,.571,23.9,26.2,.236,67,123,.545,17,42,.405,33,52,.635,22,67,36,17,5,23,33,2,0,2,.000,0.25,19.25,,,0,0,0,2,146,184,80,50,106,.472,21,52,.404,25,38,.658,16,60,25,16,6,39,42,SWAC,73.0,92.0,-19.00,2.00,-1.75,111.58,109.52,2.06,2025-11-08
American,75.5,116.6,.369,.385,.576,53.5,64.5,21.2,17.9,.531,12.6,33.3,.292,75.5,98.0,.310,.517,.556,46.5,44.0,9.3,0.0,.500,21.3,25.7,.276,31,65,.477,7,25,.280,19,24,.792,12,38,20,16,5,11,20,1,0,1,.000,1.00,15.00,,,0,0,0,1,74,88,40,25,58,.431,8,30,.267,16,18,.889,9,33,11,7,0,18,18,Patriot,74.0,88.0,-14.00,4.50,-3.50,117.39,116.17,1.22,2025-11-08
Appalachian State,67.1,95.4,.226,.374,.503,49.0,51.1,6.7,7.4,.474,20.1,36.6,.165,67.1,117.7,.440,.456,.523,51.0,52.7,14.2,18.1,.512,11.2,40.7,.240,47,115,.409,15,43,.349,19,26,.731,26,77,24,9,5,32,46,2,1,1,.500,0.00,16.00,,,1,0,0,1,158,128,80,55,125,.440,18,57,.316,30,55,.545,35,80,29,19,13,19,31,Sun Belt,79.0,64.0,15.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
